,Date_Time,No,Latitude,Longitude,Altitude,Speed,Cadence,Power
0,2020-07-30 12:04:20,1,37.541056,-77.433438,51.6,11.8,87.0,394.0
1,2020-07-30 12:04:21,2,37.540966999999995,-77.433518,51.6,11.99,85.0,388.0
2,2020-07-30 12:04:22,3,37.540876000000004,-77.433588,51.6,12.18,85.0,378.0
3,2020-07-30 12:04:23,4,37.540771,-77.433625,51.6,12.36,84.0,355.0
4,2020-07-30 12:04:24,5,37.540669,-77.433572,51.2,12.72,87.0,355.0
5,2020-07-30 12:04:25,6,37.540589000000004,-77.433465,51.0,13.02,95.0,334.0
6,2020-07-30 12:04:26,7,37.540521999999996,-77.433347,50.8,13.21,96.0,322.0
7,2020-07-30 12:04:27,8,37.540455,-77.433223,50.6,13.36,92.0,331.0
8,2020-07-30 12:04:28,9,37.54038,-77.4331,50.4,13.56,94.0,313.0
9,2020-07-30 12:04:29,10,37.540302000000004,-77.432987,50.2,13.72,92.0,318.0
10,2020-07-30 12:04:30,11,37.540227,-77.43285300000001,50.2,13.89,91.0,305.0
11,2020-07-30 12:04:31,12,37.540154,-77.432735,50.0,14.03,91.0,294.0
12,2020-07-30 12:04:32,13,37.540082,-77.432606,49.8,14.15,90.0,295.0
13,2020-07-30 12:04:33,14,37.540009999999995,-77.43248299999999,49.6,14.27,88.0,295.0
14,2020-07-30 12:04:34,15,37.539929,-77.432343,49.4,14.39,91.0,298.0
15,2020-07-30 12:04:35,16,37.539854,-77.432215,49.2,14.52,93.0,303.0
16,2020-07-30 12:04:36,17,37.539774,-77.432091,49.0,14.65,93.0,301.0
17,2020-07-30 12:04:37,18,37.539688,-77.431957,48.8,14.81,95.0,291.0
18,2020-07-30 12:04:38,19,37.539613,-77.431818,48.4,14.98,89.0,283.0
19,2020-07-30 12:04:39,20,37.539532,-77.431678,48.0,15.2,94.0,277.0
20,2020-07-30 12:04:40,21,37.539444,-77.431549,47.4,14.75,94.0,283.0
21,2020-07-30 12:04:41,22,37.539358,-77.431421,47.0,15.02,96.0,290.0
22,2020-07-30 12:04:42,23,37.539243,-77.43134599999999,46.0,15.54,99.0,286.0
23,2020-07-30 12:04:43,24,37.539108,-77.431405,44.6,16.22,98.0,290.0
24,2020-07-30 12:04:44,25,37.538982,-77.431512,43.4,16.86,100.0,290.0
25,2020-07-30 12:04:45,26,37.538856,-77.431619,42.0,17.4,97.0,286.0
26,2020-07-30 12:04:46,27,37.53873,-77.431732,40.8,17.86,100.0,283.0
27,2020-07-30 12:04:47,28,37.538591,-77.431834,39.6,18.27,99.0,279.0
28,2020-07-30 12:04:48,29,37.53843,-77.431866,38.8,18.49,101.0,273.0
29,2020-07-30 12:04:49,30,37.538264,-77.431887,37.6,18.75,98.0,268.0
30,2020-07-30 12:04:50,31,37.538097,-77.43194100000001,36.4,19.06,97.0,250.0
